FPR,TPR,Model,Phase,AUC
0.07359586830213041,0.24302788844621515,Random Forest,Phase 1,0.7301652010421837
0.0774693350548741,0.24302788844621515,Random Forest,Phase 1,0.7301652010421837
0.0774693350548741,0.24701195219123506,Random Forest,Phase 1,0.7301652010421837
0.08069722401549387,0.24701195219123506,Random Forest,Phase 1,0.7301652010421837
0.08069722401549387,0.250996015936255,Random Forest,Phase 1,0.7301652010421837
0.08263395739186571,0.250996015936255,Random Forest,Phase 1,0.7301652010421837
0.08263395739186571,0.2549800796812749,Random Forest,Phase 1,0.7301652010421837
0.08521626856036152,0.2549800796812749,Random Forest,Phase 1,0.7301652010421837
0.08521626856036152,0.2589641434262948,Random Forest,Phase 1,0.7301652010421837
0.08586184635248548,0.2589641434262948,Random Forest,Phase 1,0.7301652010421837
0.08586184635248548,0.26294820717131473,Random Forest,Phase 1,0.7301652010421837
0.08844415752098128,0.26294820717131473,Random Forest,Phase 1,0.7301652010421837
0.08844415752098128,0.26693227091633465,Random Forest,Phase 1,0.7301652010421837
0.09102646868947709,0.26693227091633465,Random Forest,Phase 1,0.7301652010421837
0.09102646868947709,0.27091633466135456,Random Forest,Phase 1,0.7301652010421837
0.09231762427372499,0.27091633466135456,Random Forest,Phase 1,0.7301652010421837
0.09231762427372499,0.2788844621513944,Random Forest,Phase 1,0.7301652010421837
0.09360877985797289,0.2788844621513944,Random Forest,Phase 1,0.7301652010421837
0.09360877985797289,0.28286852589641437,Random Forest,Phase 1,0.7301652010421837
0.09554551323434474,0.28286852589641437,Random Forest,Phase 1,0.7301652010421837
0.09554551323434474,0.2868525896414343,Random Forest,Phase 1,0.7301652010421837
0.0961910910264687,0.2868525896414343,Random Forest,Phase 1,0.7301652010421837
0.0961910910264687,0.2948207171314741,Random Forest,Phase 1,0.7301652010421837
0.10264686894770819,0.2948207171314741,Random Forest,Phase 1,0.7301652010421837
0.10264686894770819,0.29880478087649404,Random Forest,Phase 1,0.7301652010421837
0.10329244673983215,0.29880478087649404,Random Forest,Phase 1,0.7301652010421837
0.10329244673983215,0.30278884462151395,Random Forest,Phase 1,0.7301652010421837
0.1039380245319561,0.30278884462151395,Random Forest,Phase 1,0.7301652010421837
0.1039380245319561,0.30677290836653387,Random Forest,Phase 1,0.7301652010421837
0.10716591349257586,0.30677290836653387,Random Forest,Phase 1,0.7301652010421837
0.10716591349257586,0.3107569721115538,Random Forest,Phase 1,0.7301652010421837
0.10974822466107166,0.3107569721115538,Random Forest,Phase 1,0.7301652010421837
0.10974822466107166,0.3147410358565737,Random Forest,Phase 1,0.7301652010421837
0.1103938024531956,0.3147410358565737,Random Forest,Phase 1,0.7301652010421837
0.1103938024531956,0.3187250996015936,Random Forest,Phase 1,0.7301652010421837
0.11362169141381537,0.3187250996015936,Random Forest,Phase 1,0.7301652010421837
0.11362169141381537,0.32270916334661354,Random Forest,Phase 1,0.7301652010421837
0.11684958037443512,0.32270916334661354,Random Forest,Phase 1,0.7301652010421837
0.11684958037443512,0.33067729083665337,Random Forest,Phase 1,0.7301652010421837
0.11749515816655907,0.33067729083665337,Random Forest,Phase 1,0.7301652010421837
0.11749515816655907,0.3346613545816733,Random Forest,Phase 1,0.7301652010421837
0.11878631375080698,0.3346613545816733,Random Forest,Phase 1,0.7301652010421837
0.11878631375080698,0.3386454183266932,Random Forest,Phase 1,0.7301652010421837
0.11943189154293092,0.3386454183266932,Random Forest,Phase 1,0.7301652010421837
0.11943189154293092,0.3426294820717131,Random Forest,Phase 1,0.7301652010421837
0.12072304712717882,0.3426294820717131,Random Forest,Phase 1,0.7301652010421837
0.12072304712717882,0.3466135458167331,Random Forest,Phase 1,0.7301652010421837
0.12395093608779859,0.3466135458167331,Random Forest,Phase 1,0.7301652010421837
0.12395093608779859,0.3545816733067729,Random Forest,Phase 1,0.7301652010421837
0.12588766946417043,0.3545816733067729,Random Forest,Phase 1,0.7301652010421837
0.12588766946417043,0.3705179282868526,Random Forest,Phase 1,0.7301652010421837
0.1265332472562944,0.3705179282868526,Random Forest,Phase 1,0.7301652010421837
0.1265332472562944,0.3745019920318725,Random Forest,Phase 1,0.7301652010421837
0.12782440284054228,0.3745019920318725,Random Forest,Phase 1,0.7301652010421837
0.12782440284054228,0.3784860557768924,Random Forest,Phase 1,0.7301652010421837
0.12976113621691412,0.3784860557768924,Random Forest,Phase 1,0.7301652010421837
0.12976113621691412,0.38247011952191234,Random Forest,Phase 1,0.7301652010421837
0.13492575855390573,0.38247011952191234,Random Forest,Phase 1,0.7301652010421837
0.13492575855390573,0.38645418326693226,Random Forest,Phase 1,0.7301652010421837
0.14138153647514526,0.38645418326693226,Random Forest,Phase 1,0.7301652010421837
0.14138153647514526,0.3904382470119522,Random Forest,Phase 1,0.7301652010421837
0.14460942543576502,0.3904382470119522,Random Forest,Phase 1,0.7301652010421837
0.14460942543576502,0.398406374501992,Random Forest,Phase 1,0.7301652010421837
0.15171078114912848,0.398406374501992,Random Forest,Phase 1,0.7301652010421837
0.15171078114912848,0.40239043824701193,Random Forest,Phase 1,0.7301652010421837
0.15235635894125243,0.40239043824701193,Random Forest,Phase 1,0.7301652010421837
0.15235635894125243,0.4063745019920319,Random Forest,Phase 1,0.7301652010421837
0.15300193673337636,0.4063745019920319,Random Forest,Phase 1,0.7301652010421837
0.15300193673337636,0.4103585657370518,Random Forest,Phase 1,0.7301652010421837
0.15687540348612009,0.4103585657370518,Random Forest,Phase 1,0.7301652010421837
0.15687540348612009,0.41434262948207173,Random Forest,Phase 1,0.7301652010421837
0.15816655907036797,0.41434262948207173,Random Forest,Phase 1,0.7301652010421837
0.15816655907036797,0.41832669322709165,Random Forest,Phase 1,0.7301652010421837
0.15881213686249193,0.41832669322709165,Random Forest,Phase 1,0.7301652010421837
0.15881213686249193,0.42231075697211157,Random Forest,Phase 1,0.7301652010421837
0.16010329244673982,0.42231075697211157,Random Forest,Phase 1,0.7301652010421837
0.16010329244673982,0.4262948207171315,Random Forest,Phase 1,0.7301652010421837
0.16139444803098774,0.4262948207171315,Random Forest,Phase 1,0.7301652010421837
0.16139444803098774,0.4302788844621514,Random Forest,Phase 1,0.7301652010421837
0.16785022595222723,0.4302788844621514,Random Forest,Phase 1,0.7301652010421837
0.16785022595222723,0.43824701195219123,Random Forest,Phase 1,0.7301652010421837
0.16914138153647515,0.43824701195219123,Random Forest,Phase 1,0.7301652010421837
0.16914138153647515,0.44223107569721115,Random Forest,Phase 1,0.7301652010421837
0.1697869593285991,0.44223107569721115,Random Forest,Phase 1,0.7301652010421837
0.1697869593285991,0.44621513944223107,Random Forest,Phase 1,0.7301652010421837
0.17495158166559072,0.44621513944223107,Random Forest,Phase 1,0.7301652010421837
0.17495158166559072,0.450199203187251,Random Forest,Phase 1,0.7301652010421837
0.17753389283408652,0.450199203187251,Random Forest,Phase 1,0.7301652010421837
0.17753389283408652,0.4541832669322709,Random Forest,Phase 1,0.7301652010421837
0.1814073595868302,0.4541832669322709,Random Forest,Phase 1,0.7301652010421837
0.1814073595868302,0.4581673306772908,Random Forest,Phase 1,0.7301652010421837
0.18979987088444158,0.4581673306772908,Random Forest,Phase 1,0.7301652010421837
0.18979987088444158,0.46215139442231074,Random Forest,Phase 1,0.7301652010421837
0.19302775984506132,0.46215139442231074,Random Forest,Phase 1,0.7301652010421837
0.19302775984506132,0.46613545816733065,Random Forest,Phase 1,0.7301652010421837
0.19367333763718528,0.46613545816733065,Random Forest,Phase 1,0.7301652010421837
0.19367333763718528,0.47410358565737054,Random Forest,Phase 1,0.7301652010421837
0.19431891542930924,0.47410358565737054,Random Forest,Phase 1,0.7301652010421837
0.19431891542930924,0.47808764940239046,Random Forest,Phase 1,0.7301652010421837
0.19625564880568108,0.47808764940239046,Random Forest,Phase 1,0.7301652010421837
0.19625564880568108,0.4820717131474104,Random Forest,Phase 1,0.7301652010421837
0.20206584893479665,0.4820717131474104,Random Forest,Phase 1,0.7301652010421837
0.2027114267269206,0.4860557768924303,Random Forest,Phase 1,0.7301652010421837
0.20593931568754034,0.4860557768924303,Random Forest,Phase 1,0.7301652010421837
0.20593931568754034,0.4940239043824701,Random Forest,Phase 1,0.7301652010421837
0.20852162685603615,0.4940239043824701,Random Forest,Phase 1,0.7301652010421837
0.20852162685603615,0.50199203187251,Random Forest,Phase 1,0.7301652010421837
0.210458360232408,0.50199203187251,Random Forest,Phase 1,0.7301652010421837
0.210458360232408,0.5059760956175299,Random Forest,Phase 1,0.7301652010421837
0.21497740477727567,0.5059760956175299,Random Forest,Phase 1,0.7301652010421837
0.21497740477727567,0.5099601593625498,Random Forest,Phase 1,0.7301652010421837
0.2182052937378954,0.5099601593625498,Random Forest,Phase 1,0.7301652010421837
0.2182052937378954,0.5219123505976095,Random Forest,Phase 1,0.7301652010421837
0.22207876049063913,0.5219123505976095,Random Forest,Phase 1,0.7301652010421837
0.22207876049063913,0.5258964143426295,Random Forest,Phase 1,0.7301652010421837
0.22982569399612654,0.5258964143426295,Random Forest,Phase 1,0.7301652010421837
0.22982569399612654,0.5298804780876494,Random Forest,Phase 1,0.7301652010421837
0.2343447385409942,0.5298804780876494,Random Forest,Phase 1,0.7301652010421837
0.2343447385409942,0.5338645418326693,Random Forest,Phase 1,0.7301652010421837
0.23499031633311815,0.5338645418326693,Random Forest,Phase 1,0.7301652010421837
0.23499031633311815,0.5378486055776892,Random Forest,Phase 1,0.7301652010421837
0.23563589412524208,0.5378486055776892,Random Forest,Phase 1,0.7301652010421837
0.23563589412524208,0.5418326693227091,Random Forest,Phase 1,0.7301652010421837
0.2408005164622337,0.5418326693227091,Random Forest,Phase 1,0.7301652010421837
0.2408005164622337,0.545816733067729,Random Forest,Phase 1,0.7301652010421837
0.2433828276307295,0.545816733067729,Random Forest,Phase 1,0.7301652010421837
0.2433828276307295,0.549800796812749,Random Forest,Phase 1,0.7301652010421837
0.2446739832149774,0.549800796812749,Random Forest,Phase 1,0.7301652010421837
0.2446739832149774,0.5537848605577689,Random Forest,Phase 1,0.7301652010421837
0.24661071659134925,0.5537848605577689,Random Forest,Phase 1,0.7301652010421837
0.24661071659134925,0.5577689243027888,Random Forest,Phase 1,0.7301652010421837
0.2485474499677211,0.5577689243027888,Random Forest,Phase 1,0.7301652010421837
0.2485474499677211,0.5617529880478087,Random Forest,Phase 1,0.7301652010421837
0.24983860555196902,0.5617529880478087,Random Forest,Phase 1,0.7301652010421837
0.24983860555196902,0.5657370517928287,Random Forest,Phase 1,0.7301652010421837
0.25629438347320854,0.5657370517928287,Random Forest,Phase 1,0.7301652010421837
0.25629438347320854,0.5697211155378487,Random Forest,Phase 1,0.7301652010421837
0.262750161394448,0.5697211155378487,Random Forest,Phase 1,0.7301652010421837
0.262750161394448,0.5737051792828686,Random Forest,Phase 1,0.7301652010421837
0.27049709489993545,0.5737051792828686,Random Forest,Phase 1,0.7301652010421837
0.27049709489993545,0.5776892430278885,Random Forest,Phase 1,0.7301652010421837
0.276307295029051,0.5776892430278885,Random Forest,Phase 1,0.7301652010421837
0.276307295029051,0.5816733067729084,Random Forest,Phase 1,0.7301652010421837
0.27824402840542284,0.5816733067729084,Random Forest,Phase 1,0.7301652010421837
0.27824402840542284,0.5856573705179283,Random Forest,Phase 1,0.7301652010421837
0.2788896061975468,0.5856573705179283,Random Forest,Phase 1,0.7301652010421837
0.2788896061975468,0.5896414342629482,Random Forest,Phase 1,0.7301652010421837
0.2801807617817947,0.5896414342629482,Random Forest,Phase 1,0.7301652010421837
0.2801807617817947,0.5936254980079682,Random Forest,Phase 1,0.7301652010421837
0.28211749515816653,0.5936254980079682,Random Forest,Phase 1,0.7301652010421837
0.28211749515816653,0.5976095617529881,Random Forest,Phase 1,0.7301652010421837
0.2879276952872821,0.5976095617529881,Random Forest,Phase 1,0.7301652010421837
0.2879276952872821,0.601593625498008,Random Forest,Phase 1,0.7301652010421837
0.2911555842479019,0.601593625498008,Random Forest,Phase 1,0.7301652010421837
0.2911555842479019,0.6055776892430279,Random Forest,Phase 1,0.7301652010421837
0.3053582956746288,0.6055776892430279,Random Forest,Phase 1,0.7301652010421837
0.3053582956746288,0.6135458167330677,Random Forest,Phase 1,0.7301652010421837
0.3066494512588767,0.6135458167330677,Random Forest,Phase 1,0.7301652010421837
0.3066494512588767,0.6175298804780877,Random Forest,Phase 1,0.7301652010421837
0.30729502905100065,0.6175298804780877,Random Forest,Phase 1,0.7301652010421837
0.30729502905100065,0.6215139442231076,Random Forest,Phase 1,0.7301652010421837
0.30858618463524856,0.6215139442231076,Random Forest,Phase 1,0.7301652010421837
0.30858618463524856,0.6254980079681275,Random Forest,Phase 1,0.7301652010421837
0.3105229180116204,0.6254980079681275,Random Forest,Phase 1,0.7301652010421837
0.3105229180116204,0.6294820717131474,Random Forest,Phase 1,0.7301652010421837
0.31116849580374434,0.6294820717131474,Random Forest,Phase 1,0.7301652010421837
0.31116849580374434,0.6454183266932271,Random Forest,Phase 1,0.7301652010421837
0.32020658489347964,0.6454183266932271,Random Forest,Phase 1,0.7301652010421837
0.32020658489347964,0.649402390438247,Random Forest,Phase 1,0.7301652010421837
0.32149774047772756,0.649402390438247,Random Forest,Phase 1,0.7301652010421837
0.32149774047772756,0.6533864541832669,Random Forest,Phase 1,0.7301652010421837
0.32214331826985154,0.6533864541832669,Random Forest,Phase 1,0.7301652010421837
0.32214331826985154,0.6573705179282868,Random Forest,Phase 1,0.7301652010421837
0.32601678502259523,0.6573705179282868,Random Forest,Phase 1,0.7301652010421837
0.32601678502259523,0.6653386454183267,Random Forest,Phase 1,0.7301652010421837
0.3337637185280826,0.6653386454183267,Random Forest,Phase 1,0.7301652010421837
0.3337637185280826,0.6693227091633466,Random Forest,Phase 1,0.7301652010421837
0.3395739186571982,0.6693227091633466,Random Forest,Phase 1,0.7301652010421837
0.3395739186571982,0.6733067729083665,Random Forest,Phase 1,0.7301652010421837
0.342156229825694,0.6733067729083665,Random Forest,Phase 1,0.7301652010421837
0.342156229825694,0.6772908366533864,Random Forest,Phase 1,0.7301652010421837
0.34409296320206584,0.6772908366533864,Random Forest,Phase 1,0.7301652010421837
0.34409296320206584,0.6812749003984063,Random Forest,Phase 1,0.7301652010421837
0.35054874112330536,0.6812749003984063,Random Forest,Phase 1,0.7301652010421837
0.35054874112330536,0.6852589641434262,Random Forest,Phase 1,0.7301652010421837
0.35571336346029697,0.6852589641434262,Random Forest,Phase 1,0.7301652010421837
0.35571336346029697,0.6932270916334662,Random Forest,Phase 1,0.7301652010421837
0.35958683021304066,0.6932270916334662,Random Forest,Phase 1,0.7301652010421837
0.35958683021304066,0.701195219123506,Random Forest,Phase 1,0.7301652010421837
0.3615235635894125,0.701195219123506,Random Forest,Phase 1,0.7301652010421837
0.3615235635894125,0.7051792828685259,Random Forest,Phase 1,0.7301652010421837
0.3628147191736604,0.7051792828685259,Random Forest,Phase 1,0.7301652010421837
0.3628147191736604,0.7091633466135459,Random Forest,Phase 1,0.7301652010421837
0.3699160748870239,0.7091633466135459,Random Forest,Phase 1,0.7301652010421837
0.3699160748870239,0.7131474103585658,Random Forest,Phase 1,0.7301652010421837
0.37314396384764364,0.7131474103585658,Random Forest,Phase 1,0.7301652010421837
0.37314396384764364,0.7171314741035857,Random Forest,Phase 1,0.7301652010421837
0.37443511943189156,0.7171314741035857,Random Forest,Phase 1,0.7301652010421837
0.37443511943189156,0.7211155378486056,Random Forest,Phase 1,0.7301652010421837
0.3750806972240155,0.7211155378486056,Random Forest,Phase 1,0.7301652010421837
0.3750806972240155,0.7250996015936255,Random Forest,Phase 1,0.7301652010421837
0.3757262750161394,0.7250996015936255,Random Forest,Phase 1,0.7301652010421837
0.3757262750161394,0.7290836653386454,Random Forest,Phase 1,0.7301652010421837
0.37701743060038734,0.7290836653386454,Random Forest,Phase 1,0.7301652010421837
0.37701743060038734,0.7370517928286853,Random Forest,Phase 1,0.7301652010421837
0.3802453195610071,0.7370517928286853,Random Forest,Phase 1,0.7301652010421837
0.3802453195610071,0.7410358565737052,Random Forest,Phase 1,0.7301652010421837
0.38282763072950293,0.7410358565737052,Random Forest,Phase 1,0.7301652010421837
0.38282763072950293,0.7450199203187251,Random Forest,Phase 1,0.7301652010421837
0.3931568754034861,0.7450199203187251,Random Forest,Phase 1,0.7301652010421837
0.3931568754034861,0.749003984063745,Random Forest,Phase 1,0.7301652010421837
0.3989670755326017,0.749003984063745,Random Forest,Phase 1,0.7301652010421837
